From,To,Length
23,42,0.31884058
23,43,0.283816425
23,44,0.266218081
23,45,0.242236025
23,46,0.271221532
23,47,0.285886818
23,48,0.238267771
23,49,0.180986888
23,50,0.194444444
23,51,0.201863354
24,1,0.26363009
24,2,0.291235335
24,3,0.28847481
24,4,0.355072464
24,5,0.354727398
24,6,0.325224293
24,7,0.308833678
24,8,0.315044859
24,10,0.311594203
24,11,0.326777088
24,12,0.390096618
24,13,0.332125604
24,14,0.276915114
24,15,0.212042788
24,16,0.341442374
24,17,0.357487923
24,18,0.319703244
24,19,0.394237405
24,20,0.32384403
24,21,0.462732919
24,22,0.433057281
24,23,0.503278123
24,25,0.590234645
24,26,0.397515528
24,27,0.401828847
24,28,0.312111801
24,29,0.211352657
24,30,0.280710835
24,31,0.25
24,32,0.276915114
24,33,0.283643892
24,34,0.332125604
24,35,0.298654244
24,36,0.346273292
24,37,0.377501725
24,38,0.374396135
24,39,0.381297447
24,40,0.349033816
24,41,0.297964113
24,42,0.327639752
24,43,0.295376121
24,44,0.284679089
24,45,0.267425811
24,46,0.273464458
24,47,0.279503106
24,48,0.241373361
24,49,0.200310559
24,50,0.221014493
24,51,0.207556936
25,1,0.23636991
25,2,0.275189786
25,3,0.262767426
25,4,0.33436853
25,5,0.345410628
25,6,0.312284334
25,7,0.309868875
25,8,0.306418219
25,10,0.298136646
25,11,0.321256039
25,12,0.367667357
25,13,0.304692892
25,14,0.23447205
25,15,0.189268461
25,16,0.330572809
25,17,0.327812284
25,18,0.303657695
25,19,0.322636301
25,20,0.318150449
25,21,0.482229124
25,22,0.459972395
25,23,0.4894755
25,24,0.590234645
25,26,0.505003451
25,27,0.499309869
25,28,0.319703244
25,29,0.229296066
25,30,0.306418219
25,31,0.255521049
25,32,0.244306418
25,33,0.277087647
25,34,0.322636301
25,35,0.288647343
25,36,0.322291235
25,37,0.354382333
25,38,0.339717046
25,39,0.339371981
25,40,0.326604555
25,41,0.273809524
25,42,0.290200138
25,43,0.26863354
25,44,0.25310559
25,45,0.238095238
25,46,0.238095238
25,47,0.269323671
25,48,0.241545894
25,49,0.164423741
25,50,0.183747412
25,51,0.184092478
26,1,0.201863354
26,2,0.228433402
26,3,0.215320911
26,4,0.271566598
26,5,0.320048309
26,6,0.273809524
26,7,0.29589372
26,8,0.292615597
26,10,0.2915804
26,11,0.23757764
26,12,0.301759834
26,13,0.229986197
26,14,0.194616977
26,15,0.144064872
26,16,0.293133195
26,17,0.284334023
26,18,0.264320221
26,19,0.265010352
26,20,0.284851622
26,21,0.454278813
26,22,0.427881297
26,23,0.368357488
26,24,0.397515528
26,25,0.505003451
26,27,0.404934438
26,28,0.258454106
26,29,0.212732919
26,30,0.221014493
26,31,0.220324362
26,32,0.222567288
26,33,0.252933057
26,34,0.284161491
26,35,0.232919255
26,36,0.258971705
26,37,0.297273982
26,38,0.253795721
26,39,0.257763975
26,40,0.247757074
26,41,0.216356108
26,42,0.208074534
26,43,0.215838509
26,44,0.203243616
26,45,0.1873706
26,46,0.211870255
26,47,0.189095928
26,48,0.197377502
26,49,0.130779848
26,50,0.139924086
26,51,0.134748102
27,1,0.181677019
27,2,0.192374051
27,3,0.189613527
27,4,0.260006901
27,5,0.299861974
27,6,0.269151139
27,7,0.242236025
27,8,0.239993099
27,10,0.217908903
27,11,0.244133885
27,12,0.282091097
27,13,0.222394755
27,14,0.180814355
27,15,0.131124914
27,16,0.252415459
27,17,0.266390614
27,18,0.226535542
27,19,0.263457557
27,20,0.243961353
27,21,0.424258109
27,22,0.401656315
27,23,0.379399586
27,24,0.401828847
27,25,0.499309869
27,26,0.404934438
27,28,0.237750173
27,29,0.170634921
27,30,0.209972395
27,31,0.194444444
27,32,0.176673568
27,33,0.22084196
27,34,0.249309869
27,35,0.211697723
27,36,0.251035197
27,37,0.278985507
27,38,0.253450656
27,39,0.267943409
27,40,0.252415459
27,41,0.211870255
27,42,0.222739821
27,43,0.207729469
27,44,0.186162871
27,45,0.170979986
27,46,0.182539683
27,47,0.174258109
27,48,0.159247757
27,49,0.119392685
27,50,0.127329193
27,51,0.11973775
28,1,0.208247067
28,2,0.237232574
28,3,0.222912353
28,4,0.259834369
28,5,0.294340925
28,6,0.274672188
28,7,0.287784679
28,8,0.294340925
28,10,0.266218081
28,11,0.248792271
28,12,0.267943409
28,13,0.264837819
28,14,0.227225673
28,15,0.185645273
28,16,0.25741891
28,17,0.264492754
28,18,0.253278123
28,19,0.27484472
28,20,0.248792271
28,21,0.312456867
28,22,0.343167702
28,23,0.306763285
28,24,0.312111801
28,25,0.319703244
28,26,0.258454106
28,27,0.237750173
28,29,0.196169772
28,30,0.243098689
28,31,0.245341615
28,32,0.226880607
28,33,0.238785369
28,34,0.298654244
28,35,0.280365769
28,36,0.277260179
28,37,0.309868875
28,38,0.295548654
28,39,0.311766736
28,40,0.304347826
28,41,0.268461008
28,42,0.271566598
28,43,0.246549344
28,44,0.237750173
28,45,0.226535542
28,46,0.242926156
28,47,0.265700483
28,48,0.237750173
28,49,0.167184265
28,50,0.164596273
28,51,0.19910283
29,1,0.235507246
29,2,0.229813665
29,3,0.232746722
29,4,0.223429952
29,5,0.251725328
29,6,0.221532091
29,7,0.244651484
29,8,0.230331263
29,10,0.249482402
29,11,0.160455487
29,12,0.189786059
29,13,0.170634921
29,14,0.153554175
29,15,0.108350587
29,16,0.202035887
29,17,0.208592133
29,18,0.194271912
29,19,0.187543133
29,20,0.197550035
29,21,0.254830918
29,22,0.279330573
29,23,0.215838509
29,24,0.211352657
29,25,0.229296066
29,26,0.212732919
29,27,0.170634921
29,28,0.196169772
29,30,0.163906142
29,31,0.203761215
29,32,0.146652864
29,33,0.283988958
29,34,0.229296066
29,35,0.196859903
29,36,0.204796411
29,37,0.231021394
29,38,0.207556936
29,39,0.228433402
29,40,0.180986888
29,41,0.177363699
29,42,0.155452036
29,43,0.162870945
29,44,0.158040028
29,45,0.149930987
29,46,0.162180814
29,47,0.138198758
29,48,0.164768806
29,49,0.080745342
29,50,0.099378882
29,51,0.103864734
30,1,0.162870945
30,2,0.194616977
30,3,0.177536232
30,4,0.211180124
30,5,0.23636991
30,6,0.24258109
30,7,0.241718427
30,8,0.243443754
30,10,0.22705314
30,11,0.1978951
30,12,0.235507246
30,13,0.213940649
30,14,0.180124224
30,15,0.140269151
30,16,0.210144928
30,17,0.216873706
30,18,0.198930297
30,19,0.212387854
30,20,0.209972395
30,21,0.285541753
30,22,0.300379572
30,23,0.261387164
30,24,0.280710835
30,25,0.306418219
